Study,Year,Temp1920,Impact,New,Weight
Cline,1992,2.5,-1.1,0,0.9
Cline,1992,10.0,-6.0,0,0.0
Nordhaus a,1994,3.0,-1.33,0,0.0
Nordhaus b,1994,3.0,-3.6,0,0.5
Nordhaus b,1994,6.0,-10.4,0,0.5
Frankhauser,1995,2.5,-1.4,0,1.0
Tol,1994,2.5,-1.9,0,0.1
Nordhaus and Yang,1996,2.5,-1.7,0,1.0
Mendelsohn et al.,2000,2.2,0.03,0,0.1
Mendelsohn et al.,2000,2.2,0.07,0,0.1
Mendelsohn et al.,2000,2.0,0.08,0,0.1
Mendelsohn et al.,2000,3.5,0.01,0,0.1
Nordhaus and Boyer,2000,2.5,-1.5,0,1.0
Tol,2002,1.0,2.3,0,0.1
Maddison,2003,3.1,-2.2,0,0.1
Rehdanz and Maddison,2005,1.24,-0.32,0,0.1
Rehdanz and Maddison,2005,0.84,-0.32,0,0.1
Hope,2006,4.085,-3.04,0,0.25
Nordhaus,2006,3.0,-1.05,0,1.0
Nordhaus,2008,3.0,-2.49,0,0.25
Nordhaus,2010,3.4,-2.8,0,0.25
Maddison and Rehdanz,2011,4.0,-17.8,0,0.1
Bosello et al.,2012,1.52,0.5,0,1.0
Ronson and Mensbrugghe,2012,3.1,-2.14,0,0.1
Ronson and Mensbrugghe,2012,5.5,-6.05,0,0.1
Dellink,2012,2.5,-1.1,0,0.25
Kemfert,2012,0.25,-0.17,0,0.1
Hambel,2012,1.0,-0.3,0,0.1
Nordhaus,2013,3.0,-2.25,0,0.0
FUND,2015,2.0,0.2,0,0.3
FUND,2015,3.0,-0.17,0,0.4
FUND,2015,4.0,-0.85,0,0.3
WITCH,2015,2.0,-1.84,0,0.3
WITCH,2015,3.0,-3.72,0,0.4
WITCH,2015,4.0,-6.25,0,0.3
PAGE09,2017,2.0,-0.72,0,0.3
PAGE09,2017,4.0,-2.9,0,0.4
PAGE09,2017,6.0,-6.51,0,0.3
Dellink et al.,2019,2.1,-2.0,1,0.25
Dellink et al.,2019,3.6,-6.0,1,0.1
Roson and Sartori,2016,3.55,-1.72,1,0.1
Takakura et al.,2019,2.6,-2.24,1,0.33
Takakura et al.,2019,3.6,-4.69,1,0.33
Takakura et al.,2019,1.6,-1.02,1,0.33
Kompas et al.,2018,3.55,-3.0,1,0.2
Kompas et al.,2018,4.55,-7.24,1,0.2
Kompas et al.,2018,2.55,-1.77,1,0.2
Zhao et al.,2019,3.1,-2.42,1,0.0
Letta and Tol,2018,4.412,-1.88,1,0.5
Burke et al.,2015,4.86,-23.0,1,0.5
Newell et al.,2021,3.91,-2.53,1,1.0
Pretis et al.,2018,1.6,-13.0,1,0.35
Pretis et al.,2018,1.1,-8.0,1,0.15
Kahn et al.,2021,3.91,-7.64,1,1.0
Kalkuhl and Wenz,2020,4.25,-7.4,1,0.05
Kalkuhl and Wenz,2020,4.25,-13.4,1,0.05
